disease_digraph_id	property	value
295	appears_in	Hidalgo2009
296	appears_in	Hidalgo2009
297	appears_in	Hidalgo2009
299	appears_in	Hidalgo2009
301	appears_in	Hidalgo2009
304	appears_in	Hidalgo2009
305	appears_in	Hidalgo2009
306	appears_in	Hidalgo2009
307	appears_in	Hidalgo2009
308	appears_in	Hidalgo2009
309	appears_in	Hidalgo2009
310	appears_in	Hidalgo2009
348	appears_in	Hidalgo2009
349	appears_in	Hidalgo2009
355	appears_in	Hidalgo2009
356	appears_in	Hidalgo2009
357	appears_in	Hidalgo2009
358	appears_in	Hidalgo2009
359	appears_in	Hidalgo2009
362	appears_in	Hidalgo2009 Jensen2014
363	appears_in	Hidalgo2009
364	appears_in	Hidalgo2009 Jensen2014
365	appears_in	Hidalgo2009
366	appears_in	Hidalgo2009
367	appears_in	Hidalgo2009
368	appears_in	Hidalgo2009
369	appears_in	Hidalgo2009 Jensen2014
370	appears_in	Hidalgo2009
371	appears_in	Hidalgo2009
373	appears_in	Hidalgo2009
376	appears_in	Hidalgo2009
381	appears_in	Hidalgo2009
382	appears_in	Hidalgo2009
384	appears_in	Hidalgo2009
385	appears_in	Hidalgo2009 Jensen2014
389	appears_in	Hidalgo2009
390	appears_in	Hidalgo2009
391	appears_in	Hidalgo2009
392	appears_in	Hidalgo2009
394	appears_in	Hidalgo2009
395	appears_in	Hidalgo2009
396	appears_in	Hidalgo2009
397	appears_in	Hidalgo2009
398	appears_in	Hidalgo2009
400	appears_in	Hidalgo2009
407	appears_in	Hidalgo2009
409	appears_in	Hidalgo2009
410	appears_in	Hidalgo2009
413	appears_in	Hidalgo2009
414	appears_in	Hidalgo2009
416	appears_in	Hidalgo2009
417	appears_in	Hidalgo2009
419	appears_in	Hidalgo2009
420	appears_in	Hidalgo2009
421	appears_in	Hidalgo2009
422	appears_in	Hidalgo2009
423	appears_in	Hidalgo2009
424	appears_in	Hidalgo2009
425	appears_in	Hidalgo2009
426	appears_in	Hidalgo2009
427	appears_in	Hidalgo2009
428	appears_in	Hidalgo2009
430	appears_in	Hidalgo2009
431	appears_in	Hidalgo2009
434	appears_in	Hidalgo2009
436	appears_in	Hidalgo2009
438	appears_in	Hidalgo2009
451	appears_in	Hidalgo2009
452	appears_in	Hidalgo2009
453	appears_in	Hidalgo2009
456	appears_in	Hidalgo2009
457	appears_in	Hidalgo2009
458	appears_in	Hidalgo2009
461	appears_in	Hidalgo2009
462	appears_in	Hidalgo2009
463	appears_in	Hidalgo2009
464	appears_in	Hidalgo2009
468	appears_in	Hidalgo2009
469	appears_in	Hidalgo2009
471	appears_in	Hidalgo2009
472	appears_in	Hidalgo2009
473	appears_in	Hidalgo2009
474	appears_in	Hidalgo2009
475	appears_in	Hidalgo2009
476	appears_in	Hidalgo2009
479	appears_in	Hidalgo2009
480	appears_in	Hidalgo2009
485	appears_in	Hidalgo2009
486	appears_in	Hidalgo2009
487	appears_in	Hidalgo2009
488	appears_in	Hidalgo2009
490	appears_in	Hidalgo2009
491	appears_in	Hidalgo2009
492	appears_in	Hidalgo2009
493	appears_in	Hidalgo2009
494	appears_in	Hidalgo2009
495	appears_in	Hidalgo2009
496	appears_in	Hidalgo2009
497	appears_in	Hidalgo2009
498	appears_in	Hidalgo2009
499	appears_in	Hidalgo2009
500	appears_in	Hidalgo2009
501	appears_in	Hidalgo2009
504	appears_in	Hidalgo2009
505	appears_in	Hidalgo2009
506	appears_in	Hidalgo2009
507	appears_in	Hidalgo2009
508	appears_in	Hidalgo2009
509	appears_in	Hidalgo2009
510	appears_in	Hidalgo2009
511	appears_in	Hidalgo2009
512	appears_in	Hidalgo2009
513	appears_in	Hidalgo2009
514	appears_in	Hidalgo2009
515	appears_in	Hidalgo2009
516	appears_in	Hidalgo2009
519	appears_in	Hidalgo2009
520	appears_in	Hidalgo2009
524	appears_in	Hidalgo2009
525	appears_in	Hidalgo2009
526	appears_in	Hidalgo2009
528	appears_in	Hidalgo2009
529	appears_in	Hidalgo2009
531	appears_in	Hidalgo2009
532	appears_in	Hidalgo2009
534	appears_in	Hidalgo2009
535	appears_in	Hidalgo2009
538	appears_in	Hidalgo2009
539	appears_in	Hidalgo2009
540	appears_in	Hidalgo2009
545	appears_in	Hidalgo2009
546	appears_in	Hidalgo2009
547	appears_in	Hidalgo2009
548	appears_in	Hidalgo2009
549	appears_in	Hidalgo2009
550	appears_in	Hidalgo2009
554	appears_in	Hidalgo2009
555	appears_in	Hidalgo2009
556	appears_in	Hidalgo2009
557	appears_in	Hidalgo2009
558	appears_in	Hidalgo2009
562	appears_in	Hidalgo2009
565	appears_in	Hidalgo2009
566	appears_in	Hidalgo2009
574	appears_in	Hidalgo2009
575	appears_in	Hidalgo2009
576	appears_in	Hidalgo2009
584	appears_in	Hidalgo2009
585	appears_in	Hidalgo2009
592	appears_in	Hidalgo2009
593	appears_in	Hidalgo2009
619	appears_in	Hidalgo2009
621	appears_in	Hidalgo2009
623	appears_in	Hidalgo2009
625	appears_in	Hidalgo2009
629	appears_in	Hidalgo2009
630	appears_in	Hidalgo2009
631	appears_in	Hidalgo2009
632	appears_in	Hidalgo2009
633	appears_in	Hidalgo2009
634	appears_in	Hidalgo2009
637	appears_in	Hidalgo2009
640	appears_in	Hidalgo2009
644	appears_in	Hidalgo2009
647	appears_in	Hidalgo2009
648	appears_in	Hidalgo2009
649	appears_in	Hidalgo2009
651	appears_in	Hidalgo2009
652	appears_in	Hidalgo2009
654	appears_in	Hidalgo2009
657	appears_in	Hidalgo2009
661	appears_in	Hidalgo2009
663	appears_in	Hidalgo2009
665	appears_in	Hidalgo2009
666	appears_in	Hidalgo2009
667	appears_in	Hidalgo2009
668	appears_in	Hidalgo2009 Jensen2014
669	appears_in	Hidalgo2009
686	appears_in	Hidalgo2009
691	appears_in	Hidalgo2009
695	appears_in	Hidalgo2009
696	appears_in	Hidalgo2009
697	appears_in	Hidalgo2009
698	appears_in	Hidalgo2009
699	appears_in	Hidalgo2009
700	appears_in	Hidalgo2009
701	appears_in	Hidalgo2009
702	appears_in	Hidalgo2009
703	appears_in	Hidalgo2009
704	appears_in	Hidalgo2009
705	appears_in	Hidalgo2009
707	appears_in	Hidalgo2009
708	appears_in	Hidalgo2009
710	appears_in	Hidalgo2009
711	appears_in	Hidalgo2009
712	appears_in	Hidalgo2009
713	appears_in	Hidalgo2009
714	appears_in	Hidalgo2009
715	appears_in	Hidalgo2009
716	appears_in	Hidalgo2009
717	appears_in	Hidalgo2009
718	appears_in	Hidalgo2009
719	appears_in	Hidalgo2009
720	appears_in	Hidalgo2009
721	appears_in	Hidalgo2009
722	appears_in	Hidalgo2009
723	appears_in	Hidalgo2009
724	appears_in	Hidalgo2009
725	appears_in	Hidalgo2009
727	appears_in	Hidalgo2009
728	appears_in	Hidalgo2009
729	appears_in	Hidalgo2009
730	appears_in	Hidalgo2009
735	appears_in	Hidalgo2009
736	appears_in	Hidalgo2009
737	appears_in	Hidalgo2009
738	appears_in	Hidalgo2009
748	appears_in	Hidalgo2009
749	appears_in	Hidalgo2009
751	appears_in	Hidalgo2009
752	appears_in	Hidalgo2009
753	appears_in	Hidalgo2009
754	appears_in	Hidalgo2009
756	appears_in	Hidalgo2009 Jensen2014
757	appears_in	Hidalgo2009
758	appears_in	Hidalgo2009
759	appears_in	Hidalgo2009 Jensen2014
760	appears_in	Hidalgo2009 Jensen2014
767	appears_in	Hidalgo2009
768	appears_in	Hidalgo2009
769	appears_in	Hidalgo2009
770	appears_in	Hidalgo2009
771	appears_in	Hidalgo2009
772	appears_in	Hidalgo2009
775	appears_in	Hidalgo2009
776	appears_in	Hidalgo2009
777	appears_in	Hidalgo2009
778	appears_in	Hidalgo2009
782	appears_in	Hidalgo2009
786	appears_in	Hidalgo2009
790	appears_in	Hidalgo2009
796	appears_in	Hidalgo2009
797	appears_in	Hidalgo2009
799	appears_in	Hidalgo2009
800	appears_in	Hidalgo2009
801	appears_in	Hidalgo2009
802	appears_in	Hidalgo2009 Jensen2014
805	appears_in	Hidalgo2009
806	appears_in	Hidalgo2009
809	appears_in	Hidalgo2009
810	appears_in	Hidalgo2009
812	appears_in	Hidalgo2009
813	appears_in	Hidalgo2009
814	appears_in	Hidalgo2009
816	appears_in	Hidalgo2009
817	appears_in	Hidalgo2009
818	appears_in	Hidalgo2009
819	appears_in	Hidalgo2009
820	appears_in	Hidalgo2009
829	appears_in	Hidalgo2009 Jensen2014
830	appears_in	Hidalgo2009
841	appears_in	Hidalgo2009
842	appears_in	Hidalgo2009
904	appears_in	Hidalgo2009
905	appears_in	Hidalgo2009
906	appears_in	Hidalgo2009
908	appears_in	Hidalgo2009
909	appears_in	Hidalgo2009
910	appears_in	Hidalgo2009
911	appears_in	Hidalgo2009
912	appears_in	Hidalgo2009 Jensen2014
913	appears_in	Hidalgo2009
914	appears_in	Hidalgo2009
915	appears_in	Hidalgo2009
916	appears_in	Hidalgo2009
917	appears_in	Hidalgo2009
918	appears_in	Hidalgo2009
919	appears_in	Hidalgo2009
920	appears_in	Hidalgo2009
921	appears_in	Hidalgo2009
922	appears_in	Hidalgo2009
923	appears_in	Hidalgo2009
924	appears_in	Hidalgo2009
925	appears_in	Hidalgo2009
927	appears_in	Hidalgo2009
928	appears_in	Hidalgo2009
929	appears_in	Hidalgo2009
930	appears_in	Hidalgo2009
935	appears_in	Hidalgo2009
936	appears_in	Hidalgo2009
938	appears_in	Hidalgo2009
939	appears_in	Hidalgo2009
940	appears_in	Hidalgo2009
941	appears_in	Hidalgo2009
942	appears_in	Hidalgo2009
943	appears_in	Hidalgo2009
944	appears_in	Hidalgo2009
945	appears_in	Hidalgo2009
948	appears_in	Hidalgo2009
949	appears_in	Hidalgo2009
950	appears_in	Hidalgo2009
951	appears_in	Hidalgo2009
955	appears_in	Hidalgo2009
959	appears_in	Hidalgo2009
964	appears_in	Hidalgo2009
965	appears_in	Hidalgo2009
968	appears_in	Hidalgo2009
983	appears_in	Hidalgo2009 Jensen2014
984	appears_in	Hidalgo2009
1033	appears_in	Hidalgo2009
1036	appears_in	Hidalgo2009
1037	appears_in	Hidalgo2009
1042	appears_in	Hidalgo2009
1043	appears_in	Hidalgo2009
1044	appears_in	Hidalgo2009
1045	appears_in	Hidalgo2009
1046	appears_in	Hidalgo2009
1049	appears_in	Hidalgo2009
1050	appears_in	Hidalgo2009
1051	appears_in	Hidalgo2009
1052	appears_in	Hidalgo2009
1056	appears_in	Hidalgo2009
1057	appears_in	Hidalgo2009
1059	appears_in	Hidalgo2009
1061	appears_in	Hidalgo2009
1062	appears_in	Hidalgo2009
1063	appears_in	Hidalgo2009
1066	appears_in	Hidalgo2009 Jensen2014
1067	appears_in	Hidalgo2009 Jensen2014
1068	appears_in	Hidalgo2009
1069	appears_in	Hidalgo2009
1070	appears_in	Hidalgo2009 Jensen2014
1071	appears_in	Hidalgo2009
1072	appears_in	Hidalgo2009
1073	appears_in	Hidalgo2009
1074	appears_in	Hidalgo2009
1075	appears_in	Hidalgo2009
1076	appears_in	Hidalgo2009
1077	appears_in	Hidalgo2009
1078	appears_in	Hidalgo2009
1079	appears_in	Hidalgo2009
1080	appears_in	Hidalgo2009
1081	appears_in	Hidalgo2009
1082	appears_in	Hidalgo2009
1083	appears_in	Hidalgo2009
1084	appears_in	Hidalgo2009
1086	appears_in	Hidalgo2009
1088	appears_in	Hidalgo2009
1091	appears_in	Hidalgo2009
1096	appears_in	Hidalgo2009
1097	appears_in	Hidalgo2009
1098	appears_in	Hidalgo2009
1099	appears_in	Hidalgo2009
1100	appears_in	Hidalgo2009
1101	appears_in	Hidalgo2009
1106	appears_in	Hidalgo2009
1109	appears_in	Hidalgo2009
1111	appears_in	Hidalgo2009
1112	appears_in	Hidalgo2009
1115	appears_in	Hidalgo2009
1116	appears_in	Hidalgo2009
1117	appears_in	Hidalgo2009
1118	appears_in	Hidalgo2009
1119	appears_in	Hidalgo2009
1120	appears_in	Hidalgo2009
1123	appears_in	Hidalgo2009
1125	appears_in	Hidalgo2009
1128	appears_in	Hidalgo2009
1131	appears_in	Hidalgo2009
1141	appears_in	Hidalgo2009
1144	appears_in	Hidalgo2009
1147	appears_in	Hidalgo2009 Jensen2014
1148	appears_in	Hidalgo2009
1149	appears_in	Hidalgo2009 Jensen2014
1150	appears_in	Hidalgo2009
1171	appears_in	Hidalgo2009
1172	appears_in	Hidalgo2009
1173	appears_in	Hidalgo2009
1174	appears_in	Hidalgo2009
1179	appears_in	Hidalgo2009
1180	appears_in	Hidalgo2009
1188	appears_in	Hidalgo2009
1189	appears_in	Hidalgo2009
1193	appears_in	Hidalgo2009
1194	appears_in	Hidalgo2009
1197	appears_in	Hidalgo2009
1198	appears_in	Hidalgo2009
1203	appears_in	Hidalgo2009
1204	appears_in	Hidalgo2009
1210	appears_in	Hidalgo2009
1211	appears_in	Hidalgo2009
1212	appears_in	Hidalgo2009
1213	appears_in	Hidalgo2009
1214	appears_in	Hidalgo2009
1215	appears_in	Hidalgo2009
1216	appears_in	Hidalgo2009
1217	appears_in	Hidalgo2009
1218	appears_in	Hidalgo2009
1222	appears_in	Hidalgo2009
1223	appears_in	Hidalgo2009
1231	appears_in	Hidalgo2009
1232	appears_in	Hidalgo2009
1233	appears_in	Hidalgo2009
1244	appears_in	Hidalgo2009
1258	appears_in	Hidalgo2009
1259	appears_in	Hidalgo2009
1262	appears_in	Hidalgo2009
1263	appears_in	Hidalgo2009
1264	appears_in	Hidalgo2009
1265	appears_in	Hidalgo2009
1266	appears_in	Hidalgo2009
1267	appears_in	Hidalgo2009
1268	appears_in	Hidalgo2009
1269	appears_in	Hidalgo2009
1272	appears_in	Hidalgo2009
1316	appears_in	Hidalgo2009
1321	appears_in	Hidalgo2009
1328	appears_in	Hidalgo2009
1329	appears_in	Hidalgo2009
1330	appears_in	Hidalgo2009
1334	appears_in	Hidalgo2009
1336	appears_in	Hidalgo2009
1338	appears_in	Hidalgo2009
1339	appears_in	Hidalgo2009
1340	appears_in	Hidalgo2009
1343	appears_in	Hidalgo2009
1344	appears_in	Hidalgo2009
1345	appears_in	Hidalgo2009
1346	appears_in	Hidalgo2009
1347	appears_in	Hidalgo2009
1348	appears_in	Hidalgo2009
1349	appears_in	Hidalgo2009
1350	appears_in	Hidalgo2009
1351	appears_in	Hidalgo2009
1352	appears_in	Hidalgo2009
1353	appears_in	Hidalgo2009
1354	appears_in	Hidalgo2009
1355	appears_in	Hidalgo2009
1356	appears_in	Hidalgo2009
1363	appears_in	Hidalgo2009
1364	appears_in	Hidalgo2009
1369	appears_in	Hidalgo2009
1370	appears_in	Hidalgo2009
1371	appears_in	Hidalgo2009
1420	appears_in	Hidalgo2009
1433	appears_in	Hidalgo2009
1437	appears_in	Hidalgo2009
1438	appears_in	Hidalgo2009
1439	appears_in	Hidalgo2009
1440	appears_in	Hidalgo2009
1441	appears_in	Hidalgo2009
1444	appears_in	Hidalgo2009
1448	appears_in	Hidalgo2009
1449	appears_in	Hidalgo2009
1450	appears_in	Hidalgo2009
1451	appears_in	Hidalgo2009
1452	appears_in	Hidalgo2009
1453	appears_in	Hidalgo2009
1456	appears_in	Hidalgo2009
1457	appears_in	Hidalgo2009
1458	appears_in	Hidalgo2009
1459	appears_in	Hidalgo2009
1460	appears_in	Hidalgo2009
1461	appears_in	Hidalgo2009
1462	appears_in	Hidalgo2009
1463	appears_in	Hidalgo2009
1475	appears_in	Hidalgo2009
1476	appears_in	Hidalgo2009
1479	appears_in	Hidalgo2009
1480	appears_in	Hidalgo2009
1481	appears_in	Hidalgo2009
1482	appears_in	Hidalgo2009
1483	appears_in	Hidalgo2009
1484	appears_in	Hidalgo2009
1485	appears_in	Hidalgo2009
1486	appears_in	Hidalgo2009
1487	appears_in	Hidalgo2009
1488	appears_in	Hidalgo2009
1489	appears_in	Hidalgo2009
1496	appears_in	Hidalgo2009
1497	appears_in	Hidalgo2009
1498	appears_in	Hidalgo2009
1500	appears_in	Hidalgo2009
1501	appears_in	Hidalgo2009
1502	appears_in	Hidalgo2009
1503	appears_in	Hidalgo2009
1504	appears_in	Hidalgo2009
1505	appears_in	Hidalgo2009
1506	appears_in	Hidalgo2009
1507	appears_in	Hidalgo2009
1508	appears_in	Hidalgo2009
1509	appears_in	Hidalgo2009
1510	appears_in	Hidalgo2009
1511	appears_in	Hidalgo2009
1512	appears_in	Hidalgo2009
1513	appears_in	Hidalgo2009
1514	appears_in	Hidalgo2009
1516	appears_in	Hidalgo2009
1521	appears_in	Hidalgo2009
1522	appears_in	Hidalgo2009
1525	appears_in	Hidalgo2009
1526	appears_in	Hidalgo2009
1527	appears_in	Hidalgo2009
1528	appears_in	Hidalgo2009
1529	appears_in	Hidalgo2009
1530	appears_in	Hidalgo2009
1531	appears_in	Hidalgo2009
1532	appears_in	Hidalgo2009
1533	appears_in	Hidalgo2009
1534	appears_in	Hidalgo2009
1537	appears_in	Hidalgo2009
1540	appears_in	Hidalgo2009
1541	appears_in	Hidalgo2009
1542	appears_in	Hidalgo2009
1543	appears_in	Hidalgo2009
1546	appears_in	Hidalgo2009
1547	appears_in	Hidalgo2009
1548	appears_in	Hidalgo2009
1549	appears_in	Hidalgo2009
1557	appears_in	Hidalgo2009
1558	appears_in	Hidalgo2009
1559	appears_in	Hidalgo2009
1560	appears_in	Hidalgo2009
1561	appears_in	Hidalgo2009
1565	appears_in	Hidalgo2009
1568	appears_in	Hidalgo2009
1574	appears_in	Hidalgo2009
1575	appears_in	Hidalgo2009
1576	appears_in	Hidalgo2009
1589	appears_in	Hidalgo2009
1590	appears_in	Hidalgo2009
1593	appears_in	Hidalgo2009
1594	appears_in	Hidalgo2009
1604	appears_in	Hidalgo2009
1606	appears_in	Hidalgo2009
1607	appears_in	Hidalgo2009
1610	appears_in	Hidalgo2009
1611	appears_in	Hidalgo2009
1615	appears_in	Hidalgo2009
1616	appears_in	Hidalgo2009
1617	appears_in	Hidalgo2009
1618	appears_in	Hidalgo2009
1619	appears_in	Hidalgo2009
1621	appears_in	Hidalgo2009
1622	appears_in	Hidalgo2009
1623	appears_in	Hidalgo2009
1624	appears_in	Hidalgo2009
1627	appears_in	Hidalgo2009
1628	appears_in	Hidalgo2009
1631	appears_in	Hidalgo2009
1632	appears_in	Hidalgo2009
1633	appears_in	Hidalgo2009
1634	appears_in	Hidalgo2009
1636	appears_in	Hidalgo2009
1637	appears_in	Hidalgo2009
1638	appears_in	Hidalgo2009
1640	appears_in	Hidalgo2009
1641	appears_in	Hidalgo2009
1642	appears_in	Hidalgo2009
1643	appears_in	Hidalgo2009
1644	appears_in	Hidalgo2009
1645	appears_in	Hidalgo2009
1646	appears_in	Hidalgo2009
1647	appears_in	Hidalgo2009
1648	appears_in	Hidalgo2009
1649	appears_in	Hidalgo2009
1667	appears_in	Hidalgo2009
1668	appears_in	Hidalgo2009
1671	appears_in	Hidalgo2009
1672	appears_in	Hidalgo2009
1675	appears_in	Hidalgo2009
1676	appears_in	Hidalgo2009
1678	appears_in	Hidalgo2009
1679	appears_in	Hidalgo2009
1686	appears_in	Hidalgo2009 Jensen2014
1687	appears_in	Hidalgo2009
1688	appears_in	Hidalgo2009
1691	appears_in	Hidalgo2009
1692	appears_in	Hidalgo2009
1693	appears_in	Hidalgo2009
1694	appears_in	Hidalgo2009
1697	appears_in	Hidalgo2009
1698	appears_in	Hidalgo2009
1700	appears_in	Hidalgo2009
1701	appears_in	Hidalgo2009
1706	appears_in	Hidalgo2009
1708	appears_in	Jensen2014
1709	appears_in	Hidalgo2009
1710	appears_in	Hidalgo2009
1724	appears_in	Hidalgo2009
1725	appears_in	Hidalgo2009
1728	appears_in	Hidalgo2009
1733	appears_in	Hidalgo2009
1734	appears_in	Hidalgo2009 Jensen2014
1735	appears_in	Hidalgo2009
1736	appears_in	Hidalgo2009
1737	appears_in	Hidalgo2009
1738	appears_in	Hidalgo2009
1739	appears_in	Hidalgo2009
1742	appears_in	Hidalgo2009
1743	appears_in	Hidalgo2009
1744	appears_in	Hidalgo2009
1748	appears_in	Hidalgo2009
1749	appears_in	Hidalgo2009
1750	appears_in	Hidalgo2009
1751	appears_in	Hidalgo2009
1752	appears_in	Hidalgo2009
1753	appears_in	Hidalgo2009
1754	appears_in	Hidalgo2009
1755	appears_in	Hidalgo2009
1758	appears_in	Hidalgo2009
1759	appears_in	Hidalgo2009
1761	appears_in	Hidalgo2009
1762	appears_in	Hidalgo2009
1763	appears_in	Hidalgo2009
1764	appears_in	Hidalgo2009
1765	appears_in	Hidalgo2009
1766	appears_in	Hidalgo2009
1773	appears_in	Hidalgo2009
1774	appears_in	Hidalgo2009
1775	appears_in	Hidalgo2009
1776	appears_in	Hidalgo2009
1777	appears_in	Hidalgo2009
1778	appears_in	Hidalgo2009
1779	appears_in	Hidalgo2009 Jensen2014
1780	appears_in	Hidalgo2009
1781	appears_in	Hidalgo2009 Jensen2014
1784	appears_in	Hidalgo2009
1785	appears_in	Hidalgo2009 Jensen2014
1793	appears_in	Jensen2014
1794	appears_in	Hidalgo2009
1798	appears_in	Hidalgo2009
1799	appears_in	Hidalgo2009
1800	appears_in	Hidalgo2009 Jensen2014
1801	appears_in	Hidalgo2009
1802	appears_in	Hidalgo2009 Jensen2014
1803	appears_in	Hidalgo2009
1804	appears_in	Hidalgo2009
1805	appears_in	Hidalgo2009 Jensen2014
1806	appears_in	Hidalgo2009
1810	appears_in	Hidalgo2009
1811	appears_in	Hidalgo2009
1819	appears_in	Hidalgo2009
1820	appears_in	Hidalgo2009
1821	appears_in	Hidalgo2009
1825	appears_in	Hidalgo2009
1829	appears_in	Hidalgo2009
1830	appears_in	Hidalgo2009
1831	appears_in	Hidalgo2009
1833	appears_in	Hidalgo2009 Jensen2014
1836	appears_in	Hidalgo2009 Jensen2014
1838	appears_in	Jensen2014
1839	appears_in	Hidalgo2009
1840	appears_in	Hidalgo2009
1842	appears_in	Hidalgo2009
1843	appears_in	Hidalgo2009
1844	appears_in	Hidalgo2009
1845	appears_in	Hidalgo2009
1846	appears_in	Hidalgo2009
1847	appears_in	Hidalgo2009
1850	appears_in	Hidalgo2009
1851	appears_in	Hidalgo2009 Jensen2014
1853	appears_in	Hidalgo2009
1854	appears_in	Hidalgo2009 Jensen2014
1855	appears_in	Hidalgo2009
1860	appears_in	Hidalgo2009
1861	appears_in	Hidalgo2009
1862	appears_in	Hidalgo2009 Jensen2014
1863	appears_in	Hidalgo2009 Jensen2014
1864	appears_in	Hidalgo2009
1865	appears_in	Hidalgo2009 Jensen2014
1869	appears_in	Hidalgo2009
1870	appears_in	Hidalgo2009
1873	appears_in	Hidalgo2009
1874	appears_in	Hidalgo2009
1878	appears_in	Hidalgo2009
1879	appears_in	Hidalgo2009
1880	appears_in	Hidalgo2009
1881	appears_in	Hidalgo2009
1882	appears_in	Hidalgo2009
1884	appears_in	Hidalgo2009
1885	appears_in	Hidalgo2009
1887	appears_in	Hidalgo2009
1888	appears_in	Hidalgo2009
